tweetID	tweetURL	user	tweet	tweet_translated	sentiment_Rater1	sentiment_Rater2	sentiment_Rater3	sentiment_Rater4	sentiment_Rater5	sentiment_Rater6	sentiment_textblob	sentiment_VADER	sentiment_roBERTa	sentiment_Rater1_NvsNonN	sentiment_Rater1_PvsNonP	sentiment_Rater2_NvsNonN	sentiment_Rater2_PvsNonP	sentiment_Rater3_NvsNonN	sentiment_Rater3_PvsNonP	sentiment_Rater4_NvsNonN	sentiment_Rater4_PvsNonP	sentiment_Rater5_NvsNonN	sentiment_Rater5_PvsNonP	sentiment_Rater6_NvsNonN	sentiment_Rater6_PvsNonP	sentiment_textblob_NvsNonN	sentiment_textblob_PvsNonP	sentiment_VADER_NvsNonN	sentiment_VADER_PvsNonP	sentiment_roBERTa_NvsNonN	sentiment_roBERTa_PvsNonP	majority_sentiment_human_raters	majority_sentiment_human_raters_NvsNonN	majority_sentiment_human_raters_PvsNonP
1.68E+18	https://x.com/womenforchange5/status/1678826958363193362	womenforchange5	Sikelelwa Mona, 18, was found dead at a neighbour's shack in Taiwan Site C, Khayelitsha, on 8 July 2023. It is alleged that Sikelelwa was served alcohol mixed with eye-gene drops before she was gang-raped by her two neighbours. https://t.co/DOTHwiNksO'	Sikelelwa Mona, 18, was found dead at a neighbour's shack in Taiwan Site C, Khayelitsha, on 8 July 2023. It is alleged that Sikelelwa was served alcohol mixed with eye-gene drops before she was gang-raped by her two neighbours. https://t.co/DOTHwiNksO'	negative	neutral	negative	negative	negative	negative	negative	negative	negative	negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	negative	non-positive
1.80E+18	https://x.com/Ultramunchie/status/1796177572385980795	Ultramunchie	@LSBT_M @FormerGrillz Nope, Khayelitsha is the worst township in South Africa, followed by Soweto, Alexandra, Mdantsane (EC) and Diepsloot.'	@LSBT_M @FormerGrillz Nope, Khayelitsha is the worst township in South Africa, followed by Soweto, Alexandra, Mdantsane (EC) and Diepsloot.'	negative	negative	negative	negative	negative	negative	negative	negative	negative	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	negative	non-positive
1.81E+18	https://x.com/uglyprezident/status/1811001044723204250	uglyprezident	I have grown more and more skeptical of political causes here in the states chasing Europe for innovation in any sector. When I first saw the film Urbanized, I was intrigued most by Chile, Colombia and particularly Khayelitsha in South Africa.'	I have grown more and more skeptical of political causes here in the states chasing Europe for innovation in any sector. When I first saw the film Urbanized, I was intrigued most by Chile, Colombia and particularly Khayelitsha in South Africa.'	negative	neutral	neutral	neutral	neutral	negative	positive	negative	positive	negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	negative	non-positive	non-negative	positive	negative	non-positive	non-negative	positive	neutral	non-negative	non-positive
1.75E+18	https://x.com/twieterazzi/status/1753711375434625274	twieterazzi	@marcel__za Cape Town is easily the murder capital of South Africa and for you to talk about isolated means you are completely insulated to Khayelitsha and the flats.'	@marcel__za Cape Town is easily the murder capital of South Africa and for you to talk about isolated means you are completely insulated to Khayelitsha and the flats.'	negative	negative	negative	neutral	negative	negative	positive	negative	negative	negative	non-positive	negative	non-positive	negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	non-negative	positive	negative	non-positive	negative	non-positive	negative	negative	non-positive
1.56E+18	https://x.com/tubhane/status/1561379218059137024	tubhane	@Eusebius The situation is worst off here in SITE C in Khayelitsha in the city of Cape Town. Things were much better when ANC was still in charge of the City....'	@Eusebius The situation is worst off here in SITE C in Khayelitsha in the city of Cape Town. Things were much better when ANC was still in charge of the City....'	negative	negative	negative	negative	negative	negative	negative	negative	negative	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	negative	non-positive
1.68E+18	https://x.com/TheCapeArgus/status/1678675494039060481	TheCapeArgus	The family of a murdered 18-year-old girl from Taiwan, Site C in Khayelitsha, are distraught after her body was discovered a few houses away from their home. https://t.co/gTvMtevceE'	The family of a murdered 18-year-old girl from Taiwan, Site C in Khayelitsha, are distraught after her body was discovered a few houses away from their home. https://t.co/gTvMtevceE'	negative	neutral	negative	negative	negative	negative	negative	negative	negative	negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	negative	non-positive
1.53E+18	https://x.com/TaSiya_M/status/1526798332038987777	TaSiya_M	@The_Greatestss @sa_crime In Cape Town Khayelitsha Site C taxi rank, gangsters went in there and took all their money ..These people might have weapons but they rely on ambush .Umphakathi can defeat these people we were to unite'	@The_Greatestss @sa_crime In Cape Town Khayelitsha Site C taxi rank, gangsters went in there and took all their money ..These people might have weapons but they rely on ambush .Umphakathi can defeat these people we were to unite'	negative	neutral	positive	negative	negative	negative	negative	negative	negative	negative	non-positive	non-negative	non-positive	non-negative	positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	negative	non-positive
1.75E+18	https://x.com/SANewsLive/status/1747862589302804777	SANewsLive	More pain for retailers in South Africa – Full Story: https://t.co/TltiBF8wrW Lorch Ndithenge iMercedes MK Party Danny Jordan #MatricResults2023 Khayelitsha Tyla Uninterrupted Power Supply Panyaza iMessage Orania https://t.co/CMQL88ecc3'	More pain for retailers in South Africa – Full Story: https://t.co/TltiBF8wrW Lorch Ndithenge iMercedes MK Party Danny Jordan #MatricResults2023 Khayelitsha Tyla Uninterrupted Power Supply Panyaza iMessage Orania https://t.co/CMQL88ecc3'	negative	neutral	neutral	negative	neutral	negative	positive	negative	negative	negative	non-positive	non-negative	non-positive	non-negative	non-positive	negative	non-positive	non-negative	non-positive	negative	non-positive	non-negative	positive	negative	non-positive	negative	non-positive	negative	negative	non-positive
1.67E+18	https://x.com/sandile_gqoboka/status/1667970829517193220	sandile_gqoboka	@Sthembiso1988 @UnplayableZA People from Site C has confirmed that these people were following them as the waited for the game to finish to shoot him. The people that shot him are not from Site C and neither from Khayelitsha, from what I heard.'	@Sthembiso1988 @UnplayableZA People from Site C has confirmed that these people were following them as the waited for the game to finish to shoot him. The people that shot him are not from Site C and neither from Khayelitsha, from what I heard.'	negative	neutral	positive	negative	negative	negative	neutral	negative	negative	negative	non-positive	non-negative	non-positive	non-negative	positive	negative	non-positive	negative	non-positive	negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	negative	negative	non-positive
1.83E+18	https://x.com/proudafrika/status/1834633033938264267	proudafrika	@Zaddy_Bruh @SandileMakeba @kaunda_bongi See if you step out of your 30% mindset and used google you would not post this bullshit. Khayelitsha in Cape Town, South Africa is one of the world's largest slums, with 2.4 Million people living there. Mbare has a population of 800K. South Africa will always be worse. https://t.co/favER7M7Iz'	@Zaddy_Bruh @SandileMakeba @kaunda_bongi See if you step out of your 30% mindset and used google you would not post this bullshit. Khayelitsha in Cape Town, South Africa is one of the world's largest slums, with 2.4 Million people living there. Mbare has a population of 800K. South Africa will always be worse. https://t.co/favER7M7Iz'	negative	negative	neutral	negative	negative	negative	negative	negative	negative	negative	non-positive	negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	negative	non-positive
1.81E+18	https://x.com/Peter_Savege/status/1805698091795849409	Peter_Savege	@Nompu1234 The ANC doesn’t equate to Black People of South Africa, there are at least 18 parties… The DA loots too, Gugulethu, Nyana, Khayelitsha, etc all those places haven’t change much since the when the ANC run them… unemployment and crime in Westen Cape is just as bad!'	@Nompu1234 The ANC doesn’t equate to Black People of South Africa, there are at least 18 parties… The DA loots too, Gugulethu, Nyana, Khayelitsha, etc all those places haven’t change much since the when the ANC run them… unemployment and crime in Westen Cape is just as bad!'	negative	neutral	negative	negative	negative	negative	negative	negative	negative	negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	negative	non-positive
1.82E+18	https://x.com/OdumegwuOjukwu_/status/1817997276037484837	OdumegwuOjukwu_	@ZNakhane @madala76742214 @afroghanga @Official_MissSA In South Africa, Basically the white occupied areas where you black slaves are not allowed to litter with bastard kids. She's not parading in Delft and Khayelitsha settlements.'	@ZNakhane @madala76742214 @afroghanga @Official_MissSA In South Africa, Basically the white occupied areas where you black slaves are not allowed to litter with bastard kids. She's not parading in Delft and Khayelitsha settlements.'	negative	negative	neutral	negative	negative	negative	negative	negative	negative	negative	non-positive	negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	negative	non-positive
1.66E+18	https://x.com/nicdb/status/1655874827453095937	nicdb	@LetsFreeTheCape @BrashRational @realRobertCK @Our_DA Western Cape is an artificial administrative entity of South Africa and has only existed since 1994. It has no history as a nation or state of its own and has no right to secede from SA any more than Khayelitsha or Constantia can secede from Cape Town.'	@LetsFreeTheCape @BrashRational @realRobertCK @Our_DA Western Cape is an artificial administrative entity of South Africa and has only existed since 1994. It has no history as a nation or state of its own and has no right to secede from SA any more than Khayelitsha or Constantia can secede from Cape Town.'	negative	neutral	neutral	neutral	neutral	negative	positive	negative	negative	negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	negative	non-positive	non-negative	positive	negative	non-positive	negative	non-positive	neutral	non-negative	non-positive
1.82E+18	https://x.com/Newzroom405/status/1816737313025622325	Newzroom405	[WATCH] The Khayelitsha Magistrate's Court is expected to hand down judgment in the bail application of Athule Mtsha and Sithisa Masiko. The two face a string of charges for their alleged role in the murder of 3 children and one adult at a barbershop in Site C, Khayelitsha last https://t.co/KCnslW0BBt'	[WATCH] The Khayelitsha Magistrate's Court is expected to hand down judgment in the bail application of Athule Mtsha and Sithisa Masiko. The two face a string of charges for their alleged role in the murder of 3 children and one adult at a barbershop in Site C, Khayelitsha last https://t.co/KCnslW0BBt'	negative	neutral	negative	positive	negative	negative	negative	negative	negative	negative	non-positive	non-negative	non-positive	negative	non-positive	non-negative	positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	negative	non-positive
1.85E+18	https://x.com/News24/status/1850813592532070778	News24	Just days after two mass murders in the Western Cape, provincial police are on the hunt for gunmen who shot three people dead in Site C, Khayelitsha, on Sunday evening. | @Lisaleesolomon1 https://t.co/hixBThkm2r'	Just days after two mass murders in the Western Cape, provincial police are on the hunt for gunmen who shot three people dead in Site C, Khayelitsha, on Sunday evening. | @Lisaleesolomon1 https://t.co/hixBThkm2r'	negative	neutral	negative	positive	negative	negative	negative	negative	negative	negative	non-positive	non-negative	non-positive	negative	non-positive	non-negative	positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	negative	non-positive
1.70E+18	https://x.com/MSNSouthAfrica/status/1697810706073063741	MSNSouthAfrica	A 25-year-old woman from Somerset West was left severely injured and traumatised after she was brutally attacked for allegedly rejecting the advances of an unwanted suitor in Khayelitsha. https://t.co/YgfWqhsQ94'	A 25-year-old woman from Somerset West was left severely injured and traumatised after she was brutally attacked for allegedly rejecting the advances of an unwanted suitor in Khayelitsha. https://t.co/YgfWqhsQ94'	negative	neutral	neutral	negative	negative	negative	negative	negative	negative	negative	non-positive	non-negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	negative	non-positive
1.69E+18	https://x.com/MSNSouthAfrica/status/1687422257394536448	MSNSouthAfrica	Cele said his pain goes to people of Langa, Gugulethu, Khayelitsha where people who try to help others get to work or school are stopped, assaulted and their vehicles destroyed. https://t.co/lnw9KAaxpe'	Cele said his pain goes to people of Langa, Gugulethu, Khayelitsha where people who try to help others get to work or school are stopped, assaulted and their vehicles destroyed. https://t.co/lnw9KAaxpe'	negative	neutral	neutral	positive	negative	negative	neutral	negative	negative	negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	positive	negative	non-positive	negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	negative	negative	non-positive
1.72E+18	https://x.com/KhayelitshaE/status/1720080996975149363	KhayelitshaE	Worst pain is that we as citizens of South Africa can’t even watch this because of loadshedding. 😩🙆🏾‍♂️ #RWC2023 https://t.co/iWX9J4US3p'	Worst pain is that we as citizens of South Africa can’t even watch this because of loadshedding. 😩🙆🏾‍♂️ #RWC2023 https://t.co/iWX9J4US3p'	negative	positive	neutral	neutral	negative	negative	negative	negative	negative	negative	non-positive	non-negative	positive	non-negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	negative	non-positive
1.52E+18	https://x.com/GraemeRauby/status/1524269311858196480	GraemeRauby	Seven years after the #Khayelitsha Commission of Inquiry into Police Ineffencies and still no permanent SAPS station in Site C. There's a mobile one in Makhaza. All the info government needs is there. We should prioritise this Cape Town landmark &amp; stop playing politics.'	Seven years after the #Khayelitsha Commission of Inquiry into Police Ineffencies and still no permanent SAPS station in Site C. There's a mobile one in Makhaza. All the info government needs is there. We should prioritise this Cape Town landmark &amp; stop playing politics.'	negative	neutral	neutral	negative	neutral	negative	neutral	negative	negative	negative	non-positive	non-negative	non-positive	non-negative	non-positive	negative	non-positive	non-negative	non-positive	negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	negative	negative	non-positive
1.52E+18	https://x.com/ewnupdates/status/1524658930713985024	ewnupdates	No breakthroughs yet in Khayelitsha Site C mass shooting https://t.co/hCPqSrXMTT https://t.co/BoH5sit9Vo'	No breakthroughs yet in Khayelitsha Site C mass shooting https://t.co/hCPqSrXMTT https://t.co/BoH5sit9Vo'	negative	neutral	negative	negative	neutral	negative	neutral	negative	negative	negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	non-negative	non-positive	negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	negative	negative	non-positive
1.52E+18	https://x.com/ewnupdates/status/1524635286440857600	ewnupdates	No breakthroughs yet in Khayelitsha Site C mass shooting https://t.co/0Ds4S9b239 https://t.co/GACdGmehVm'	No breakthroughs yet in Khayelitsha Site C mass shooting https://t.co/0Ds4S9b239 https://t.co/GACdGmehVm'	negative	neutral	negative	negative	neutral	negative	neutral	negative	negative	negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	non-negative	non-positive	negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	negative	negative	non-positive
1.67E+18	https://x.com/cashandpeace/status/1671164373409370114	cashandpeace	Nyanga is the murder capital of South Africa. where is Hanover Park and Eldorado Park? Gugulethu and Khayelitsha? Diepsloot and Alex?'	Nyanga is the murder capital of South Africa. where is Hanover Park and Eldorado Park? Gugulethu and Khayelitsha? Diepsloot and Alex?'	negative	negative	negative	neutral	negative	negative	neutral	negative	negative	negative	non-positive	negative	non-positive	negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	negative	negative	non-positive
1.52E+18	https://x.com/BongzzTheGreat/status/1524830285485027328	BongzzTheGreat	ooSisi base Khayelitsha e Site C "izondthatha ndilapha ngakwa Msiya" indlela inje, uqonde xawnoleqwa nge gun awunolenza tu ixesha kweza potholes 😅😅😅 https://t.co/g14OhdWf9L'	Site Scaleries in the Site C "The way is, the way, understands when gun could not make time for potholes 😅😅😅 😅😅😅://t.co/g14ohdwf '	negative	neutral	neutral	neutral	neutral	negative	neutral	negative	neutral	negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	negative	non-positive	non-negative	non-positive	negative	non-positive	non-negative	non-positive	neutral	non-negative	non-positive
